wdgraph,value
['[1*]CC([2*])C(=O)NCCCCCCCCCCCCCCCC.[3*]CC([4*])C(=O)NCCCCCCCCCCCCCCCC|0.5|0.5|<1-3:0.5:0.5<1-4:0.5:0.5<2-3:0.5:0.5<2-4:0.5:0.5'],16.73
['[1*]CC([2*])C(=O)NCCCCCCCCCCCCCCCCCC.[3*]CC([4*])C(=O)NCCCCCCCCCCCCCCCCCC|0.5|0.5|<1-3:0.5:0.5<1-4:0.5:0.5<2-3:0.5:0.5<2-4:0.5:0.5'],21.61
['[1*]CC([2*])C(=O)NCCCCCCCCCCCCCCCCCCCCCC.[3*]CC([4*])C(=O)NCCCCCCCCCCCCCCCCCCCCCC|0.5|0.5|<1-3:0.5:0.5<1-4:0.5:0.5<2-3:0.5:0.5<2-4:0.5:0.5'],35.71
['[1*]CC([2*])(F)F.[3*]CC([4*])(F)F|0.5|0.5|<1-3:0.5:0.5<1-4:0.5:0.5<2-3:0.5:0.5<2-4:0.5:0.5'],41.3664625
['[1*]CC([2*])(Cl)Cl.[3*]CC([4*])(Cl)Cl|0.5|0.5|<1-3:0.5:0.5<1-4:0.5:0.5<2-3:0.5:0.5<2-4:0.5:0.5'],67.76
['[1*]C(F)C([2*])(F)F.[3*]C(F)C([4*])(F)F|0.5|0.5|<1-3:0.5:0.5<1-4:0.5:0.5<2-3:0.5:0.5<2-4:0.5:0.5'],72.97
['[1*]C(F)(F)C([2*])(F)Cl.[3*]C(F)(F)C([4*])(F)Cl|0.5|0.5|<1-3:0.5:0.5<1-4:0.5:0.5<2-3:0.5:0.5<2-4:0.5:0.5'],77.15
['[1*]CCC=C([2*])Cl.[3*]CCC=C([4*])Cl|0.5|0.5|<1-3:0.5:0.5<1-4:0.5:0.5<2-3:0.5:0.5<2-4:0.5:0.5'],90.11
['[1*]CCC(F)(F)C([2*])(F)F.[3*]CCC(F)(F)C([4*])(F)F|0.5|0.5|<1-3:0.5:0.5<1-4:0.5:0.5<2-3:0.5:0.5<2-4:0.5:0.5'],43.69
['[1*]CCC=C([2*])C.[3*]CCC=C([4*])C|0.5|0.5|<1-3:0.5:0.5<1-4:0.5:0.5<2-3:0.5:0.5<2-4:0.5:0.5'],52.26
['[1*]C=CC(C)C[2*].[3*]C=CC(C)C[4*]|0.5|0.5|<1-3:0.5:0.5<1-4:0.5:0.5<2-3:0.5:0.5<2-4:0.5:0.5'],62.19
['[1*]CC(C)C=C([2*])C.[3*]CC(C)C=C([4*])C|0.5|0.5|<1-3:0.5:0.5<1-4:0.5:0.5<2-3:0.5:0.5<2-4:0.5:0.5'],45.53
['[1*]CO[2*].[3*]CO[4*]|0.5|0.5|<1-3:0.5:0.5<1-4:0.5:0.5<2-3:0.5:0.5<2-4:0.5:0.5'],97.74314666
['[1*]CCO[2*].[3*]CCO[4*]|0.5|0.5|<1-3:0.5:0.5<1-4:0.5:0.5<2-3:0.5:0.5<2-4:0.5:0.5'],70.6655082
['[1*]CC(C)O[2*].[3*]CC(C)O[4*]|0.5|0.5|<1-3:0.5:0.5<1-4:0.5:0.5<2-3:0.5:0.5<2-4:0.5:0.5'],77.61
['[1*]CC(CCl)O[2*].[3*]CC(CCl)O[4*]|0.5|0.5|<1-3:0.5:0.5<1-4:0.5:0.5<2-3:0.5:0.5<2-4:0.5:0.5'],51.33
['[1*]CC(O[2*])C(C)(C)C.[3*]CC(O[4*])C(C)(C)C|0.5|0.5|<1-3:0.5:0.5<1-4:0.5:0.5<2-3:0.5:0.5<2-4:0.5:0.5'],20.98
['[1*]CCCO[2*].[3*]CCCO[4*]|0.5|0.5|<1-3:0.5:0.5<1-4:0.5:0.5<2-3:0.5:0.5<2-4:0.5:0.5'],55.46
['[1*]CC(C)(C)CO[2*].[3*]CC(C)(C)CO[4*]|0.5|0.5|<1-3:0.5:0.5<1-4:0.5:0.5<2-3:0.5:0.5<2-4:0.5:0.5'],47.31
['[1*]CC(CO)(CO)CO[2*].[3*]CC(CO)(CO)CO[4*]|0.5|0.5|<1-3:0.5:0.5<1-4:0.5:0.5<2-3:0.5:0.5<2-4:0.5:0.5'],90.22
['[1*]CC(CO[2*])(COCC)COCC.[3*]CC(CO[4*])(COCC)COCC|0.5|0.5|<1-3:0.5:0.5<1-4:0.5:0.5<2-3:0.5:0.5<2-4:0.5:0.5'],26.85
['[1*]CCCCO[2*].[3*]CCCCO[4*]|0.5|0.5|<1-3:0.5:0.5<1-4:0.5:0.5<2-3:0.5:0.5<2-4:0.5:0.5'],17.54872941
['[1*]CCCCCCO[2*].[3*]CCCCCCO[4*]|0.5|0.5|<1-3:0.5:0.5<1-4:0.5:0.5<2-3:0.5:0.5<2-4:0.5:0.5'],93.3
['[1*]CCCCCCCCO[2*].[3*]CCCCCCCCO[4*]|0.5|0.5|<1-3:0.5:0.5<1-4:0.5:0.5<2-3:0.5:0.5<2-4:0.5:0.5'],92.75
['[1*]Oc1c(C)cc([2*])cc1C.[3*]Oc1c(C)cc([4*])cc1C|0.5|0.5|<1-3:0.5:0.5<1-4:0.5:0.5<2-3:0.5:0.5<2-4:0.5:0.5'],62.833401
['[1*]Oc1c(OC)cc([2*])cc1OC.[3*]Oc1c(OC)cc([4*])cc1OC|0.5|0.5|<1-3:0.5:0.5<1-4:0.5:0.5<2-3:0.5:0.5<2-4:0.5:0.5'],19.88
['[1*]Oc1c(-c2ccccc2)cc([2*])cc1-c1ccccc1.[3*]Oc1c(-c2ccccc2)cc([4*])cc1-c1ccccc1|0.5|0.5|<1-3:0.5:0.5<1-4:0.5:0.5<2-3:0.5:0.5<2-4:0.5:0.5'],73.4
['[1*]CCOCO[2*].[3*]CCOCO[4*]|0.5|0.5|<1-3:0.5:0.5<1-4:0.5:0.5<2-3:0.5:0.5<2-4:0.5:0.5'],62.84
['[1*]CCCCOCO[2*].[3*]CCCCOCO[4*]|0.5|0.5|<1-3:0.5:0.5<1-4:0.5:0.5<2-3:0.5:0.5<2-4:0.5:0.5'],65.43
['[1*]CCOC(=O)c1ccc(O[2*])cc1.[3*]CCOC(=O)c1ccc(O[4*])cc1|0.5|0.5|<1-3:0.5:0.5<1-4:0.5:0.5<2-3:0.5:0.5<2-4:0.5:0.5'],67.44
['[1*]CCOc1ccc(C(=O)OCCOC(=O)c2ccc(O[2*])cc2)cc1.[3*]CCOc1ccc(C(=O)OCCOC(=O)c2ccc(O[4*])cc2)cc1|0.5|0.5|<1-3:0.5:0.5<1-4:0.5:0.5<2-3:0.5:0.5<2-4:0.5:0.5'],96.09
['[1*]CC(=O)NCCCCCCNC(=O)CO[2*].[3*]CC(=O)NCCCCCCNC(=O)CO[4*]|0.5|0.5|<1-3:0.5:0.5<1-4:0.5:0.5<2-3:0.5:0.5<2-4:0.5:0.5'],31.96
['[1*]CCOCCOC(=O)NCCCCCCNC(=O)O[2*].[3*]CCOCCOC(=O)NCCCCCCNC(=O)O[4*]|0.5|0.5|<1-3:0.5:0.5<1-4:0.5:0.5<2-3:0.5:0.5<2-4:0.5:0.5'],56.78
['[1*]CCOCCOCCOC(=O)NCCCCCCNC(=O)O[2*].[3*]CCOCCOCCOC(=O)NCCCCCCNC(=O)O[4*]|0.5|0.5|<1-3:0.5:0.5<1-4:0.5:0.5<2-3:0.5:0.5<2-4:0.5:0.5'],35.73
['[1*]CC(=O)OC(=O)c1ccc(C(=O)OC(=O)COc2ccc(O[2*])cc2)cc1.[3*]CC(=O)OC(=O)c1ccc(C(=O)OC(=O)COc2ccc(O[4*])cc2)cc1|0.5|0.5|<1-3:0.5:0.5<1-4:0.5:0.5<2-3:0.5:0.5<2-4:0.5:0.5'],47.87
['[1*]CCOCCOCCOCCOC(=O)NCCCCCCNC(=O)O[2*].[3*]CCOCCOCCOCCOC(=O)NCCCCCCNC(=O)O[4*]|0.5|0.5|<1-3:0.5:0.5<1-4:0.5:0.5<2-3:0.5:0.5<2-4:0.5:0.5'],25.61
['[1*]CCOCCOCCOCCOCCOCCOC(=O)NCCCCCCNC(=O)O[2*].[3*]CCOCCOCCOCCOCCOCCOC(=O)NCCCCCCNC(=O)O[4*]|0.5|0.5|<1-3:0.5:0.5<1-4:0.5:0.5<2-3:0.5:0.5<2-4:0.5:0.5'],22.98
['[1*]Oc1ccc(Oc2ccc(C(=O)c3ccc([2*])cc3)cc2)cc1.[3*]Oc1ccc(Oc2ccc(C(=O)c3ccc([4*])cc3)cc2)cc1|0.5|0.5|<1-3:0.5:0.5<1-4:0.5:0.5<2-3:0.5:0.5<2-4:0.5:0.5'],31.10578095
['[1*]CC(CC)(CC)CO[2*].[3*]CC(CC)(CC)CO[4*]|0.5|0.5|<1-3:0.5:0.5<1-4:0.5:0.5<2-3:0.5:0.5<2-4:0.5:0.5'],41.8
['[1*]CCOCC(=O)O[2*].[3*]CCOCC(=O)O[4*]|0.5|0.5|<1-3:0.5:0.5<1-4:0.5:0.5<2-3:0.5:0.5<2-4:0.5:0.5'],55.93
['[1*]CCOCCOC(=O)c1ccc(C(=O)O[2*])cc1.[3*]CCOCCOC(=O)c1ccc(C(=O)O[4*])cc1|0.5|0.5|<1-3:0.5:0.5<1-4:0.5:0.5<2-3:0.5:0.5<2-4:0.5:0.5'],38.53
['[1*]Oc1ccc(Oc2ccc(OC(=O)c3cccc(C([2*])=O)c3)cc2)cc1.[3*]Oc1ccc(Oc2ccc(OC(=O)c3cccc(C([4*])=O)c3)cc2)cc1|0.5|0.5|<1-3:0.5:0.5<1-4:0.5:0.5<2-3:0.5:0.5<2-4:0.5:0.5'],29.77
['[1*]CC(C)(CC)CO[2*].[3*]CC(C)(CC)CO[4*]|0.5|0.5|<1-3:0.5:0.5<1-4:0.5:0.5<2-3:0.5:0.5<2-4:0.5:0.5'],54.15
['[1*]CC(C)(CO)CO[2*].[3*]CC(C)(CO)CO[4*]|0.5|0.5|<1-3:0.5:0.5<1-4:0.5:0.5<2-3:0.5:0.5<2-4:0.5:0.5'],41.42
['[1*]CC(CO[2*])(COC=O)COC=O.[3*]CC(CO[4*])(COC=O)COC=O|0.5|0.5|<1-3:0.5:0.5<1-4:0.5:0.5<2-3:0.5:0.5<2-4:0.5:0.5'],53.4
['[1*]Oc1ccc(Oc2ccc(C(=O)c3cccc(C(=O)c4ccc([2*])cc4)c3)cc2)cc1.[3*]Oc1ccc(Oc2ccc(C(=O)c3cccc(C(=O)c4ccc([4*])cc4)c3)cc2)cc1|0.5|0.5|<1-3:0.5:0.5<1-4:0.5:0.5<2-3:0.5:0.5<2-4:0.5:0.5'],72.53
['[1*]Oc1ccc(Oc2ccc(C(=O)c3ccc([2*])cc3)cc2)cc1C.[3*]Oc1ccc(Oc2ccc(C(=O)c3ccc([4*])cc3)cc2)cc1C|0.5|0.5|<1-3:0.5:0.5<1-4:0.5:0.5<2-3:0.5:0.5<2-4:0.5:0.5'],30.95
['[1*]CCCCCCCCCCOc1ccc(OC(=O)c2ccc(OCCOCCOCCOc3ccc(C(=O)Oc4ccc(O[2*])cc4)cc3)cc2)cc1.[3*]CCCCCCCCCCOc1ccc(OC(=O)c2ccc(OCCOCCOCCOc3ccc(C(=O)Oc4ccc(O[4*])cc4)cc3)cc2)cc1|0.5|0.5|<1-3:0.5:0.5<1-4:0.5:0.5<2-3:0.5:0.5<2-4:0.5:0.5'],16.51
['[1*]Oc1ccc(Oc2ccc(NC(=O)c3ccc(Oc4ccc(Oc5ccc(C(=O)Nc6ccc([2*])cc6)cc5)cc4)cc3)cc2)cc1.[3*]Oc1ccc(Oc2ccc(NC(=O)c3ccc(Oc4ccc(Oc5ccc(C(=O)Nc6ccc([4*])cc6)cc5)cc4)cc3)cc2)cc1|0.5|0.5|<1-3:0.5:0.5<1-4:0.5:0.5<2-3:0.5:0.5<2-4:0.5:0.5'],60.74
['[1*]Oc1cccc(Oc2ccc(NC(=O)c3ccc(Oc4cccc(Oc5ccc(C(=O)Nc6ccc([2*])cc6)cc5)c4)cc3)cc2)c1.[3*]Oc1cccc(Oc2ccc(NC(=O)c3ccc(Oc4cccc(Oc5ccc(C(=O)Nc6ccc([4*])cc6)cc5)c4)cc3)cc2)c1|0.5|0.5|<1-3:0.5:0.5<1-4:0.5:0.5<2-3:0.5:0.5<2-4:0.5:0.5'],40.05
['[1*]c1cccc(Oc2ccc(-c3ccc(Oc4cccc(-n5c(=O)c6cc7c(=O)n([2*])c(=O)c7cc6c5=O)c4)cc3)cc2)c1.[3*]c1cccc(Oc2ccc(-c3ccc(Oc4cccc(-n5c(=O)c6cc7c(=O)n([4*])c(=O)c7cc6c5=O)c4)cc3)cc2)c1|0.5|0.5|<1-3:0.5:0.5<1-4:0.5:0.5<2-3:0.5:0.5<2-4:0.5:0.5'],90.18
['[1*]CCCCCCOC(=O)Nc1ccc(C)c(NC(=O)OCCCCCCOc2ccc(-c3ccc(O[2*])cc3)cc2)c1.[3*]CCCCCCOC(=O)Nc1ccc(C)c(NC(=O)OCCCCCCOc2ccc(-c3ccc(O[4*])cc3)cc2)c1|0.5|0.5|<1-3:0.5:0.5<1-4:0.5:0.5<2-3:0.5:0.5<2-4:0.5:0.5'],37.92
['[1*]CCCS[2*].[3*]CCCS[4*]|0.5|0.5|<1-3:0.5:0.5<1-4:0.5:0.5<2-3:0.5:0.5<2-4:0.5:0.5'],98.81
['[1*]CCCCCCS[2*].[3*]CCCCCCS[4*]|0.5|0.5|<1-3:0.5:0.5<1-4:0.5:0.5<2-3:0.5:0.5<2-4:0.5:0.5'],87.41
['[1*]CCOC(=O)CCC(=O)O[2*].[3*]CCOC(=O)CCC(=O)O[4*]|0.5|0.5|<1-3:0.5:0.5<1-4:0.5:0.5<2-3:0.5:0.5<2-4:0.5:0.5'],79.99
['[1*]CCCOC(=O)CCC(=O)O[2*].[3*]CCCOC(=O)CCC(=O)O[4*]|0.5|0.5|<1-3:0.5:0.5<1-4:0.5:0.5<2-3:0.5:0.5<2-4:0.5:0.5'],50.44
['[1*]CCCCOC(=O)CCC(=O)O[2*].[3*]CCCCOC(=O)CCC(=O)O[4*]|0.5|0.5|<1-3:0.5:0.5<1-4:0.5:0.5<2-3:0.5:0.5<2-4:0.5:0.5'],56.84
['[1*]CCCOC(=O)CCCC(=O)O[2*].[3*]CCCOC(=O)CCCC(=O)O[4*]|0.5|0.5|<1-3:0.5:0.5<1-4:0.5:0.5<2-3:0.5:0.5<2-4:0.5:0.5'],24.04
['[1*]CCOC(=O)CCCCC(=O)O[2*].[3*]CCOC(=O)CCCCC(=O)O[4*]|0.5|0.5|<1-3:0.5:0.5<1-4:0.5:0.5<2-3:0.5:0.5<2-4:0.5:0.5'],69.34
['[1*]CCCOC(=O)CCCCC(=O)O[2*].[3*]CCCOC(=O)CCCCC(=O)O[4*]|0.5|0.5|<1-3:0.5:0.5<1-4:0.5:0.5<2-3:0.5:0.5<2-4:0.5:0.5'],26.74
['[1*]CCCCCCCCCCOC(=O)CCCCC(=O)O[2*].[3*]CCCCCCCCCCOC(=O)CCCCC(=O)O[4*]|0.5|0.5|<1-3:0.5:0.5<1-4:0.5:0.5<2-3:0.5:0.5<2-4:0.5:0.5'],88.04
['[1*]CCOC(=O)CCCCCCC(=O)O[2*].[3*]CCOC(=O)CCCCCCC(=O)O[4*]|0.5|0.5|<1-3:0.5:0.5<1-4:0.5:0.5<2-3:0.5:0.5<2-4:0.5:0.5'],57.21
['[1*]CCCOC(=O)CCCCCCC(=O)O[2*].[3*]CCCOC(=O)CCCCCCC(=O)O[4*]|0.5|0.5|<1-3:0.5:0.5<1-4:0.5:0.5<2-3:0.5:0.5<2-4:0.5:0.5'],92.48
['[1*]CCOC(=O)CCCCCCCC(=O)O[2*].[3*]CCOC(=O)CCCCCCCC(=O)O[4*]|0.5|0.5|<1-3:0.5:0.5<1-4:0.5:0.5<2-3:0.5:0.5<2-4:0.5:0.5'],57.8
['[1*]CCCCCCCCCOC(=O)CCCCCCCC(=O)O[2*].[3*]CCCCCCCCCOC(=O)CCCCCCCC(=O)O[4*]|0.5|0.5|<1-3:0.5:0.5<1-4:0.5:0.5<2-3:0.5:0.5<2-4:0.5:0.5'],73.07
['[1*]CCCCCCCCCCOC(=O)CCCCCCCC(=O)O[2*].[3*]CCCCCCCCCCOC(=O)CCCCCCCC(=O)O[4*]|0.5|0.5|<1-3:0.5:0.5<1-4:0.5:0.5<2-3:0.5:0.5<2-4:0.5:0.5'],66.73
['[1*]CCOC(=O)CCCCCCCCC(=O)O[2*].[3*]CCOC(=O)CCCCCCCCC(=O)O[4*]|0.5|0.5|<1-3:0.5:0.5<1-4:0.5:0.5<2-3:0.5:0.5<2-4:0.5:0.5'],60.1
['[1*]CCCOC(=O)CCCCCCCCC(=O)O[2*].[3*]CCCOC(=O)CCCCCCCCC(=O)O[4*]|0.5|0.5|<1-3:0.5:0.5<1-4:0.5:0.5<2-3:0.5:0.5<2-4:0.5:0.5'],37.93
['[1*]CCCCOC(=O)CCCCCCCCC(=O)O[2*].[3*]CCCCOC(=O)CCCCCCCCC(=O)O[4*]|0.5|0.5|<1-3:0.5:0.5<1-4:0.5:0.5<2-3:0.5:0.5<2-4:0.5:0.5'],44.62
['[1*]CCCCCCOC(=O)CCCCCCCCC(=O)O[2*].[3*]CCCCCCOC(=O)CCCCCCCCC(=O)O[4*]|0.5|0.5|<1-3:0.5:0.5<1-4:0.5:0.5<2-3:0.5:0.5<2-4:0.5:0.5'],74.61
['[1*]CCCCCCCOC(=O)CCCCCCCCC(=O)O[2*].[3*]CCCCCCCOC(=O)CCCCCCCCC(=O)O[4*]|0.5|0.5|<1-3:0.5:0.5<1-4:0.5:0.5<2-3:0.5:0.5<2-4:0.5:0.5'],45.6
['[1*]CCCCCCCCCCOC(=O)CCCCCCCCC(=O)O[2*].[3*]CCCCCCCCCCOC(=O)CCCCCCCCC(=O)O[4*]|0.5|0.5|<1-3:0.5:0.5<1-4:0.5:0.5<2-3:0.5:0.5<2-4:0.5:0.5'],75.09
['[1*]CCOC(=O)c1ccc(C(=O)O[2*])cc1.[3*]CCOC(=O)c1ccc(C(=O)O[4*])cc1|0.5|0.5|<1-3:0.5:0.5<1-4:0.5:0.5<2-3:0.5:0.5<2-4:0.5:0.5'],31.7557344
['[1*]CCOC(=O)c1cccc(C(=O)O[2*])c1.[3*]CCOC(=O)c1cccc(C(=O)O[4*])c1|0.5|0.5|<1-3:0.5:0.5<1-4:0.5:0.5<2-3:0.5:0.5<2-4:0.5:0.5'],40.99
['[1*]CCCCOC(=O)c1ccc(C(=O)O[2*])cc1.[3*]CCCCOC(=O)c1ccc(C(=O)O[4*])cc1|0.5|0.5|<1-3:0.5:0.5<1-4:0.5:0.5<2-3:0.5:0.5<2-4:0.5:0.5'],34.54432121
['[1*]CCCCOC(=O)c1cccc(C(=O)O[2*])c1.[3*]CCCCOC(=O)c1cccc(C(=O)O[4*])c1|0.5|0.5|<1-3:0.5:0.5<1-4:0.5:0.5<2-3:0.5:0.5<2-4:0.5:0.5'],18.14
['[1*]CCCCCOC(=O)c1ccc(C(=O)O[2*])cc1.[3*]CCCCCOC(=O)c1ccc(C(=O)O[4*])cc1|0.5|0.5|<1-3:0.5:0.5<1-4:0.5:0.5<2-3:0.5:0.5<2-4:0.5:0.5'],21.11
['[1*]CCCCCCOC(=O)c1ccc(C(=O)O[2*])cc1.[3*]CCCCCCOC(=O)c1ccc(C(=O)O[4*])cc1|0.5|0.5|<1-3:0.5:0.5<1-4:0.5:0.5<2-3:0.5:0.5<2-4:0.5:0.5'],84.06
['[1*]CCCCCCCCCCOC(=O)c1ccc(C(=O)O[2*])cc1.[3*]CCCCCCCCCCOC(=O)c1ccc(C(=O)O[4*])cc1|0.5|0.5|<1-3:0.5:0.5<1-4:0.5:0.5<2-3:0.5:0.5<2-4:0.5:0.5'],79.26
['[1*]Oc1c(Cl)cc(C(C)(C)c2cc(Cl)c(OC(=O)CCCCC([2*])=O)c(Cl)c2)cc1Cl.[3*]Oc1c(Cl)cc(C(C)(C)c2cc(Cl)c(OC(=O)CCCCC([4*])=O)c(Cl)c2)cc1Cl|0.5|0.5|<1-3:0.5:0.5<1-4:0.5:0.5<2-3:0.5:0.5<2-4:0.5:0.5'],48.47
['[1*]CCOC(=O)c1ccc2cc(C(=O)O[2*])ccc2c1.[3*]CCOC(=O)c1ccc2cc(C(=O)O[4*])ccc2c1|0.5|0.5|<1-3:0.5:0.5<1-4:0.5:0.5<2-3:0.5:0.5<2-4:0.5:0.5'],40.762904
['[1*]CCCCOC(=O)CCCCC(=O)O[2*].[3*]CCCCOC(=O)CCCCC(=O)O[4*]|0.5|0.5|<1-3:0.5:0.5<1-4:0.5:0.5<2-3:0.5:0.5<2-4:0.5:0.5'],63.01
['[1*]CCCCCOC(=O)CCCCC(=O)O[2*].[3*]CCCCCOC(=O)CCCCC(=O)O[4*]|0.5|0.5|<1-3:0.5:0.5<1-4:0.5:0.5<2-3:0.5:0.5<2-4:0.5:0.5'],34.68
['[1*]OC1CCC(OC(=O)CCCCC([2*])=O)CC1.[3*]OC1CCC(OC(=O)CCCCC([4*])=O)CC1|0.5|0.5|<1-3:0.5:0.5<1-4:0.5:0.5<2-3:0.5:0.5<2-4:0.5:0.5'],76.23
